,ALDERMEN,ATTENDANTS.EDWARD,ATTENDANTS.EDWARD.1,Bourbon,Clarence,Clifford,EdwardIV,EdwardV.Infant,Exeter,Father,GAMEKEEPERS.1,GAMEKEEPERS.2,Hastings,HenryVI,HenryVII,HughMortimer,Huntsman,JohnMortimer,KingLewis,LadyBona,Lieutenant,MESSENGERS.1,MESSENGERS.2,MESSENGERS.Post,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,MESSENGERS.X.5,MayorOfCoventry,MayorOfYork,Montague,Montgomery,Norfolk,Northumberland,Nurse,Oxford,Pembroke,PrinceEdward,QueenElizabeth,QueenMargaret,RichardIII,Rivers,Rutland,SOLDIERS.CLARENCE,SOLDIERS.FRENCH,SOLDIERS.LANCASTER,SOLDIERS.MONTAGUE,SOLDIERS.MONTGOMERY,SOLDIERS.OXFORD,SOLDIERS.SOMERSET,SOLDIERS.WARWICK,SOLDIERS.YORK,SOLDIERS.YORK.0.2,Somerset,Somerville,Son,Stafford,Stanley,Tutor,WATCHMEN.1,WATCHMEN.2,WATCHMEN.3,Warwick,Westmorland,York
PrinceEdward,0.0,0.0,0.0,266.0,189.0,341.0,189.0,0.0,71.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,266.0,266.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,100.0,0.0,100.0,341.0,0.0,348.0,0.0,0.0,0.0,833.0,155.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,189.0,73.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,160.0
QueenElizabeth,0.0,316.0,3.0,0.0,291.0,0.0,316.0,47.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,47.0,0.0,128.0,0.0,0.0,0.0,316.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,119.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QueenMargaret,0.0,0.0,0.0,266.0,200.0,341.0,200.0,0.0,71.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,266.0,266.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,100.0,0.0,100.0,341.0,0.0,356.0,0.0,833.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,200.0,73.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,160.0
RichardIII,67.0,316.0,3.0,0.0,652.0,336.0,1350.0,47.0,171.0,0.0,0.0,0.0,310.0,365.0,0.0,14.0,18.0,14.0,0.0,0.0,6.0,0.0,0.0,68.0,5.0,25.0,5.0,0.0,0.0,99.0,67.0,728.0,49.0,314.0,243.0,47.0,74.0,128.0,155.0,316.0,166.0,0.0,0.0,0.0,38.0,0.0,159.0,3.0,49.0,2.0,4.0,115.0,789.0,180.0,155.0,99.0,0.0,128.0,31.0,0.0,0.0,0.0,0.0,654.0,143.0,287.0
Rivers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutland,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.CLARENCE,0.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
SOLDIERS.FRENCH,0.0,0.0,0.0,0.0,67.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,69.0,0.0,0.0
SOLDIERS.LANCASTER,0.0,0.0,0.0,0.0,16.0,355.0,159.0,0.0,143.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,143.0,0.0,143.0,303.0,0.0,82.0,0.0,242.0,0.0,242.0,159.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,82.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,143.0,143.0,303.0
SOLDIERS.MONTAGUE,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
