,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.0.1,ATTENDANTS.RICHMOND,Archbishop,BISHOPS,BishopOfEly,Blunt,Brakenbury,Brandon,Buckingham,CITIZENS,CITIZENS.0,Cardinal,Catesby,Clarence,ClarencesBoy,ClarencesDaughter,Dorset,DuchessOfYork,EdwardIV,EdwardV,GENTLEMEN,GUARDS,Grey,Hastings,HenryVI,HenryVII,Herbert,Jailer,LadyAnne,Lovell,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MESSENGERS.4,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS.1,MURDERERS.2,MayorOfLondon,Norfolk,Oxford,PrinceEdward,Pursuivant,QueenElizabeth,QueenMargaret,Ratcliffe,RichardIII,Rivers,SOLDIERS.RICHARD,SOLDIERS.RICHMOND,Scales,Scrivener,Sheriff,SirChristopher,SirJohn,Stanley,Surrey,Tyrrel,Vaughan,Woodeville,York
Buckingham,282,718,28,0,0,148,56,0,0,0,0,187,132,119,400,0,47,47,510,47,137,153,0,30,463,655,0,11,0,0,0,212,0,0,0,0,0,0,0,0,0,380,63,0,0,0,510,209,356,1084,510,11,0,137,0,30,0,0,514,0,0,0,137,58
CITIZENS,0,193,0,0,0,154,0,0,0,0,187,0,21,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITIZENS.0,552,1390,44,91,0,21,0,52,17,94,132,21,0,0,460,9,0,110,204,306,0,9,0,30,7,5,7,332,119,0,119,123,42,37,34,21,0,0,10,0,0,21,105,119,8,0,554,129,410,911,7,299,96,0,0,30,21,0,291,19,56,7,0,9
Cardinal,119,101,0,0,0,0,0,0,0,0,119,0,0,0,119,0,0,0,0,0,0,119,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Catesby,562,855,44,0,0,154,0,0,0,17,400,176,460,119,0,0,0,0,22,66,0,153,0,0,5,161,0,17,17,0,0,62,8,8,8,8,0,0,0,0,0,315,17,17,0,1,319,0,111,789,5,23,0,0,0,0,0,0,42,0,0,0,0,58
Clarence,0,9,0,0,0,0,0,0,103,0,0,0,9,0,0,0,0,0,0,0,0,0,0,78,0,0,0,9,0,102,0,0,0,0,0,0,0,0,0,197,197,0,0,0,0,0,0,0,0,87,0,9,0,0,0,0,0,0,0,0,0,0,0,0
ClarencesBoy,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,150,116,150,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,47,47,116,0,0,0,0,0,0,0,47,0,0,0,0,0
ClarencesDaughter,0,110,0,0,0,0,0,0,17,0,47,0,110,0,0,0,150,0,226,260,0,0,0,0,0,47,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,47,47,116,0,0,0,0,0,0,0,128,0,0,0,0,0
Dorset,0,204,0,0,0,0,0,27,17,94,510,0,204,0,22,0,116,226,0,226,137,0,0,0,480,485,0,94,94,0,110,0,0,0,0,0,0,0,0,0,0,0,11,94,0,0,706,209,172,502,596,64,30,137,0,0,0,0,523,0,0,0,137,0
DuchessOfYork,66,306,0,0,80,0,0,0,17,0,47,0,306,0,66,0,150,260,226,0,0,0,0,0,0,47,0,0,0,0,110,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,502,120,47,113,116,0,0,0,0,0,0,0,128,0,0,0,0,80
EdwardIV,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,137,0,0,0,0,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,90,90,137,0,0,137,0,0,0,0,40,0,0,0,137,0
EdwardV,153,144,0,0,0,0,0,0,0,0,153,0,9,119,153,0,0,0,0,0,0,0,0,0,0,95,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,162,0,9,0,0,0,0,0,0,0,0,0,0,0,67
