,AEDILES,AEDILES.X.1,AEDILES.X.2,AEDILES.X.3,ATTENDANTS.ROMAN,ATTENDANTS.VOLSCIAN,Adrian,Aufidius,CITIZENS.ANTIUM.1,CITIZENS.ROMAN,CITIZENS.ROMAN.1,CITIZENS.ROMAN.2,CITIZENS.ROMAN.3,CITIZENS.ROMAN.4,CITIZENS.ROMAN.5,CITIZENS.ROMAN.6,CITIZENS.ROMAN.7,CITIZENS.ROMAN.8,CITIZENS.VOLSCIAN,CONSPIRATORS,Cominius,Coriolanus,Gentlewoman,Herald,LICTORS,LORDS.VOLSCIAN,Lartius,MESSENGERS.TRIBUNES.1,MESSENGERS.TRIBUNES.2,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,Menenius,NOBLES,Nicanor,OFFICERS.1,OFFICERS.2,SENATORS.ROMAN,SENATORS.VOLSCIAN,SERVANTS.1,SERVANTS.2,SERVANTS.3,SOLDIERS.ROMAN,SOLDIERS.ROMAN.0,SOLDIERS.ROMAN.Lieutenant,SOLDIERS.ROMAN.Scout,SOLDIERS.ROMAN.Trumpeter,SOLDIERS.VOLSCIAN,SOLDIERS.VOLSCIAN.Lieutenant,TRIBUNES.Brutus,TRIBUNES.Sicinius,Usher,Valeria,Virgilia,Volumnia,WATCHMEN.1,WATCHMEN.2,YoungMartius
Coriolanus,60.0,1.0,115.0,0.0,210.0,0.0,0.0,505.0,10.0,287.0,33.0,33.0,33.0,37.0,37.0,23.0,23.0,23.0,102.0,102.0,914.0,0.0,0.0,57.0,87.0,102.0,544.0,0.0,0.0,41.0,40.0,0.0,0.0,970.0,246.0,0.0,87.0,87.0,686.0,12.0,147.0,138.0,34.0,309.0,1588.0,0.0,0.0,26.0,19.0,0.0,587.0,587.0,0.0,267.0,336.0,490.0,37.0,37.0,210.0
Gentlewoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,86.0,86.0,0.0,0.0,0.0
Herald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,57.0,57.0,57.0,0.0,0.0,0.0
LICTORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.VOLSCIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,115.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lartius,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,544.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,36.0,40.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,324.0,12.0,0.0,0.0,0.0,225.0,439.0,9.0,9.0,29.0,12.0,0.0,356.0,356.0,0.0,57.0,57.0,57.0,0.0,0.0,0.0
MESSENGERS.TRIBUNES.1,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,125.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.TRIBUNES.2,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,103.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,41.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
