,ATTENDANTS,ATTENDANTS.ALCIBIADES,ATTENDANTS.TIMON,Alcibiades,Apemantus,BANDITS.1,BANDITS.2,BANDITS.3,Cupid,FRIENDS,FRIENDS.Lucius,FRIENDS.Lucullus,FRIENDS.Sempronius,FRIENDS.Ventidius,Flavius,Fool,Jeweler,LADIES,LORDS,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,Merchant,OldMan,Painter,Phrynia,Poet,SENATORS,SENATORS.1,SENATORS.2,SENATORS.3,SENATORS.4,SENATORS.X,SERVANTS.Caphis,SERVANTS.Hortensius,SERVANTS.ISIDORE.1,SERVANTS.LUCIUS.1,SERVANTS.LUCULLUS.1,SERVANTS.Page,SERVANTS.Philotus,SERVANTS.TIMON,SERVANTS.TIMON.0,SERVANTS.TIMON.1,SERVANTS.TIMON.2,SERVANTS.TIMON.3,SERVANTS.TIMON.Flaminius,SERVANTS.TIMON.Lucilius,SERVANTS.TIMON.Servilius,SERVANTS.TIMON.X.1,SERVANTS.TIMON.X.2,SERVANTS.Titus,SERVANTS.VARRO.1,SERVANTS.VARRO.2,SOLDIERS,SOLDIERS.1,STRANGERS.1,STRANGERS.2,STRANGERS.3,Timandra,Timon
SERVANTS.TIMON,0.0,12.0,0.0,12.0,87.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,34.0,0.0,181.0,0.0,0.0,17.0,4.0,0.0,181.0,49.0,181.0,0.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0
SERVANTS.TIMON.0,0.0,0.0,0.0,247.0,226.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,131.0,147.0,131.0,0.0,233.0,233.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.0,0.0,0.0,0.0,147.0,821.0
SERVANTS.TIMON.1,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SERVANTS.TIMON.2,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
SERVANTS.TIMON.3,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SERVANTS.TIMON.Flaminius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
SERVANTS.TIMON.Lucilius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,17.0,0.0,0.0,66.0,49.0,66.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
SERVANTS.TIMON.Servilius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,39.0,39.0,39.0,0.0,0.0,40.0,40.0,40.0,0.0,31.0
SERVANTS.TIMON.X.1,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SERVANTS.TIMON.X.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
