,ATTENDANTS,ATTENDANTS.ANTONY,ATTENDANTS.CAESAR,ATTENDANTS.OCTAVIA,ATTENDANTS.ROMAN,Agrippa,Alexas,Ambassador,Antony,Boy,CAPTAINS,Canidius,Charmian,Cleopatra,Countryman,Demetrius,Diomedes,Dolabella,EUNUCHS,Egyptian,Enobarbus,Eros,GUARDS,GUARDS.CAESAR,GUARDS.CAESAR.1,GUARDS.Dercetus,Gallus,Iras,Lepidus,MESSENGERS.ANTONY.1,MESSENGERS.ANTONY.2,MESSENGERS.ANTONY.3,MESSENGERS.CAESAR.1,MESSENGERS.CAESAR.2,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,MESSENGERS.X.5,Maecenas,Mardian,Menas,Menecrates,Octavia,Octavius,Philo,Pompey,Proculeius,SERVANTS,SERVANTS.ANTONY,SERVANTS.Lamprius,SERVANTS.Lucillius,SERVANTS.Rannius,SERVANTS.X.1,SERVANTS.X.2,SOLDIERS,SOLDIERS.ANTONY,SOLDIERS.ANTONY.0,SOLDIERS.ANTONY.X.1,SOLDIERS.ANTONY.X.2,SOLDIERS.ANTONY.X.3,SOLDIERS.CAESAR,SOLDIERS.CAESAR.X.1,Scarus,Seleucus,Silius,Soothsayer,Taurus,Thidias,Varrius,Ventidius,WATCHMEN.1,WATCHMEN.2,WATCHMEN.Sentry
Enobarbus,58.0,0.0,0.0,0.0,0.0,604.0,92.0,20.0,835.0,138.0,138.0,73.0,360.0,361.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,360.0,508.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,517.0,92.0,312.0,0.0,56.0,504.0,0.0,246.0,0.0,153.0,46.0,92.0,92.0,92.0,4.0,73.0,108.0,0.0,44.0,8.0,0.0,0.0,0.0,11.0,35.0,0.0,0.0,92.0,0.0,77.0,0.0,190.0,41.0,41.0,41.0
Eros,41.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,13.0,0.0,98.0,98.0,0.0,0.0,34.0,0.0,0.0,0.0,27.0,0.0,21.0,0.0,0.0,16.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,75.0,0.0,20.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARDS.CAESAR,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARDS.CAESAR.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARDS.Dercetus,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,16.0,10.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallus,0.0,0.0,134.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,0.0,148.0,0.0,14.0,0.0,0.0,0.0,41.0,0.0,77.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iras,58.0,57.0,134.0,0.0,0.0,0.0,416.0,20.0,528.0,0.0,0.0,0.0,1402.0,1356.0,0.0,54.0,98.0,216.0,54.0,0.0,360.0,57.0,94.0,58.0,0.0,0.0,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,146.0,0.0,0.0,0.0,134.0,399.0,0.0,0.0,0.0,134.0,54.0,0.0,211.0,15.0,46.0,92.0,92.0,92.0,4.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,40.0,0.0,92.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
Lepidus,0.0,0.0,0.0,0.0,97.0,505.0,0.0,0.0,492.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,44.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,246.0,0.0,56.0,588.0,0.0,246.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0
MESSENGERS.ANTONY.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
