,ATTENDANTS.PERICLES,ATTENDANTS.PERICLES.1,ATTENDANTS.SIMONIDES,Antiochus,Bawd,Bolt,CITIZENS.TARSUS,Cerimon,Cleon,Companion,Daughter,Diana,Dionyza,FISHERMEN.1,FISHERMEN.2,FISHERMEN.3,FOLLOWERS.ANTIOCHUS,GENTLEMEN.EPHESUS.1,GENTLEMEN.EPHESUS.2,GENTLEMEN.MYTILENE.1,GENTLEMEN.MYTILENE.2,GENTLEMEN.TYRE,Gower,Helicanus,KNIGHTS,LADIES.PENTAPOLIS,LORDS.MYTILENE,LORDS.MYTILENE.0.1,LORDS.PENTAPOLIS,LORDS.TARSUS.1,LORDS.TYRE,LORDS.TYRE.Escanes,Leonine,Lychorida,Lysimachus,MESSENGERS.ANTIOCH.1,Marina,Marina.Infant,Marshal,PIRATES,PRIESTESSES,Pander,Pericles,Philemon,SAILORS.1,SAILORS.2,SAILORS.MYTILENE.1,SAILORS.TYRE.1,SERVANTS.CERIMON,SERVANTS.CERIMON.0.2,SUPPLIANTS.1,SUPPLIANTS.2,Simonides,Thaisa,Thaliard
GENTLEMEN.TYRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,260.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,260.0,264.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0
Gower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0
Helicanus,114.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,260.0,315.0,0.0,0.0,90.0,60.0,0.0,0.0,374.0,0.0,315.0,0.0,0.0,0.0,98.0,0.0,443.0,0.0,0.0,0.0,266.0,272.0,0.0,386.0,0.0,0.0,0.0,98.0,30.0
KNIGHTS,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,123.0,0.0
LADIES.PENTAPOLIS,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0
LORDS.MYTILENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,260.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,260.0,260.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0
LORDS.MYTILENE.0.1,114.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,201.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,38.0,315.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,315.0,0.0,0.0,0.0,98.0,0.0,328.0,0.0,0.0,0.0,201.0,201.0,0.0,366.0,0.0,0.0,0.0,98.0,0.0
LORDS.PENTAPOLIS,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,0.0
LORDS.TARSUS.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.TYRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
