,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.0.1,ATTENDANTS.RICHMOND,Archbishop,BISHOPS,BishopOfEly,Blunt,Brakenbury,Brandon,Buckingham,CITIZENS,CITIZENS.0,CITIZENS.1,CITIZENS.2,CITIZENS.3,Cardinal,Catesby,Clarence,ClarencesBoy,ClarencesDaughter,Dorset,DuchessOfYork,EdwardIV,EdwardV,GENTLEMEN,GUARDS,Grey,Hastings,HenryVI,HenryVII,Herbert,Jailer,LadyAnne,Lovell,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MESSENGERS.4,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS.1,MURDERERS.2,MayorOfLondon,Norfolk,Oxford,PrinceEdward,Pursuivant,QueenElizabeth,QueenMargaret,Ratcliffe,RichardIII,Rivers,SOLDIERS.RICHARD,SOLDIERS.RICHMOND,Scales,Scrivener,Sheriff,SirChristopher,SirJohn,Stanley,Surrey,Tyrrel,Vaughan,Woodeville,York
Buckingham,282.0,718.0,28.0,0.0,0.0,148.0,56.0,0.0,0.0,0.0,0.0,187.0,132.0,0.0,0.0,0.0,119.0,400.0,0.0,47.0,47.0,510.0,47.0,137.0,153.0,0.0,30.0,463.0,655.0,0.0,11.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,63.0,0.0,0.0,0.0,510.0,209.0,356.0,1084.0,510.0,11.0,0.0,137.0,0.0,30.0,0.0,0.0,514.0,0.0,0.0,0.0,137.0,58.0
CITIZENS,0.0,193.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,187.0,0.0,21.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.0,552.0,1390.0,44.0,91.0,0.0,21.0,0.0,52.0,17.0,94.0,132.0,21.0,0.0,0.0,0.0,0.0,0.0,460.0,9.0,0.0,110.0,204.0,306.0,0.0,9.0,0.0,30.0,7.0,5.0,7.0,332.0,119.0,0.0,119.0,123.0,42.0,37.0,34.0,21.0,0.0,0.0,10.0,0.0,0.0,21.0,105.0,119.0,8.0,0.0,554.0,129.0,410.0,911.0,7.0,299.0,96.0,0.0,0.0,30.0,21.0,0.0,291.0,19.0,56.0,7.0,0.0,9.0
CITIZENS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardinal,119.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
Catesby,562.0,855.0,44.0,0.0,0.0,154.0,0.0,0.0,0.0,17.0,400.0,176.0,460.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,22.0,66.0,0.0,153.0,0.0,0.0,5.0,161.0,0.0,17.0,17.0,0.0,0.0,62.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,315.0,17.0,17.0,0.0,1.0,319.0,0.0,111.0,789.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,58.0
Clarence,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,9.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClarencesBoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,116.0,150.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,47.0,47.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
