,ATTENDANTS,Archbishop,BEADLES,Bardolph,Bedford,Blunt,Bullcalf,ChiefJustice,Chorus,Clarence,Colevile,DRAWERS.1,DRAWERS.Francis,DRAWERS.Will,DRAWERS.X,Davy,DollTearsheet,Falstaff,Feeble,GROOMS.1,GROOMS.2,Gloucester,Harcourt,Hastings,HenryIV,HenryV,LadyNorthumberland,LadyPercy,LordBardolph,MESSENGERS.1,MESSENGERS.Gower,MUSICIANS,Man,MistressQuickly,Morton,Mouldy,Mowbray,Northumberland,OFFICERS,OFFICERS.Fang,OFFICERS.Snare,Peto,Pistol,Poins,Porter,SERVANTS.CHIEFJUSTICE.1,SERVANTS.FALSTAFF.1,SERVANTS.HENRY,SOLDIERS.HENRY,SOLDIERS.REBEL,Shadow,Shallow,Silence,Surrey,Travers,Wart,Warwick,Westmoreland
Gloucester,212.0,0.0,0.0,0.0,133.0,105.0,0.0,133.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,212.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,80.0
Harcourt,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,66.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0
Hastings,0.0,491.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0
HenryIV,229.0,0.0,0.0,0.0,17.0,81.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,66.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,283.0,80.0
HenryV,69.0,0.0,0.0,271.0,122.0,105.0,0.0,140.0,0.0,122.0,0.0,0.0,124.0,0.0,0.0,0.0,138.0,173.0,0.0,0.0,0.0,122.0,15.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,316.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,131.0,15.0
LadyNorthumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LadyPercy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LordBardolph,0.0,496.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,167.0,0.0,496.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,142.0,380.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,302.0
MESSENGERS.1,0.0,361.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0
MESSENGERS.Gower,0.0,0.0,0.0,33.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,64.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
