,ATTENDANTS,ATTENDANTS.GAUNT,ATTENDANTS.HENRY,AbbotOfWestminster,Aumerle,Bagot,Berkeley,BishopOfCarlisle,Bushy,DuchessOfGloucester,DuchessOfYork,Exton,Fitzwater,Gardener,Gaunt,Green,Groom,HERALDS.1,HERALDS.2,HERALDS.X,HenryIV,Hotspur,Jailer,LADIES,LORDS,LORDS.1,LordMarshal,Mowbray,Northumberland,OFFICERS,OFFICERS.0,OFFICERS.0.1,Queen,RichardII,Ross,SERVANTS.EXTON,SERVANTS.GARDENER.1,SERVANTS.GARDENER.2,SERVANTS.YORK.1,SOLDIERS.HENRY,SOLDIERS.RICHARD,Salisbury,Scroop,Surrey,WelshCaptain,Willoughby,York
Mowbray,191.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,205.0,186.0,0.0,377.0,0.0,0.0,0.0,396.0,0.0,205.0,0.0,0.0,205.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumberland,0.0,0.0,220.0,333.0,569.0,411.0,105.0,367.0,116.0,0.0,0.0,15.0,373.0,0.0,0.0,116.0,0.0,0.0,0.0,333.0,813.0,722.0,0.0,53.0,37.0,333.0,0.0,0.0,0.0,386.0,330.0,148.0,132.0,447.0,274.0,23.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,333.0,0.0,274.0,685.0
OFFICERS,0.0,0.0,0.0,333.0,581.0,332.0,0.0,333.0,0.0,0.0,0.0,0.0,333.0,0.0,248.0,0.0,0.0,248.0,229.0,333.0,562.0,333.0,0.0,98.0,248.0,333.0,248.0,205.0,386.0,0.0,330.0,145.0,98.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,218.0
OFFICERS.0,0.0,0.0,0.0,330.0,330.0,330.0,0.0,330.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,330.0,330.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,330.0,0.0,45.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,216.0
OFFICERS.0.1,0.0,0.0,0.0,61.0,278.0,47.0,0.0,95.0,0.0,0.0,200.0,42.0,87.0,0.0,0.0,0.0,32.0,0.0,0.0,47.0,252.0,109.0,26.0,104.0,28.0,47.0,0.0,0.0,148.0,145.0,45.0,0.0,104.0,265.0,0.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,329.0
Queen,0.0,71.0,0.0,0.0,158.0,287.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,82.0,71.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,132.0,98.0,0.0,104.0,0.0,256.0,158.0,0.0,82.0,82.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,202.0
RichardII,211.0,71.0,153.0,162.0,1013.0,386.0,0.0,388.0,171.0,0.0,0.0,15.0,162.0,0.0,530.0,224.0,32.0,248.0,229.0,162.0,735.0,315.0,26.0,98.0,459.0,162.0,248.0,396.0,447.0,508.0,162.0,265.0,256.0,0.0,158.0,15.0,0.0,0.0,0.0,153.0,226.0,163.0,134.0,162.0,0.0,158.0,464.0
Ross,0.0,71.0,0.0,0.0,158.0,158.0,105.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,71.0,158.0,0.0,0.0,0.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,241.0
SERVANTS.EXTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,50.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
SERVANTS.GARDENER.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
